did|mid
2|281325
3|30621
3|304743
4|60570
5|63525
6|118137
8|4860
8|18086
8|18458
8|23136
8|36169
8|58625
8|83754
8|90571
8|90573
8|131879
8|165214
8|166374
8|175886
8|177826
8|177841
8|179870
8|200627
8|205062
8|223321
8|227724
8|237051
8|239311
8|247163
8|249858
8|262889
8|270188
8|271663
8|271667
8|271757
8|283885
8|299400
8|300290
8|339759
8|352881
8|354315
9|232582
10|343779
11|239313
12|166846
12|261141
14|79376
15|140388
16|175114
17|4719
17|36265
18|142397
19|234536
21|65495
22|163180
22|170922
22|198671
22|207893
22|211486
22|271630
22|333030
22|341541
22|343406
23|1807
26|71939
26|145050
26|285322
27|278204
28|5334
28|295075
28|338551
29|72709
31|80762
31|86476
31|117490
31|157146
31|157784
31|200860
31|208470
31|214985
31|219248
31|289021
31|330376
31|347746
31|363005
32|27631
32|188130
32|235574
32|348839
33|207526
33|350027
35|34429
36|278871
37|49754
37|112471
37|131679
37|180403
37|306391
38|66707
40|231371
41|210163
42|49100
42|99356
42|242949
42|277372
42|327787
42|376861
43|240578
44|220510
45|184732
45|234685
45|280727
45|296459
45|370129
46|28684
47|226433
48|303791
49|242676
50|45872
50|344198
51|163931
51|295498
52|210206
52|210207
52|248057
53|58431
53|64718
53|86252
53|123520
53|182253
53|182266
53|312954
54|13492
54|21868
55|326270
56|58172
56|67900
56|155836
56|196888
57|196831
58|78431
58|246659
59|4154
59|4431
59|17094
59|36147
59|36149
59|43292
59|59390
59|59396
59|85373
59|85374
59|88490
59|92493
59|98110
59|98455
59|109404
59|128053
59|136402
59|137817
59|145581
59|170250
59|172542
59|186195
59|222449
59|227414
59|228844
59|247995
59|248803
59|254730
59|271034
59|284757
59|298241
59|326676
59|335339
60|164978
61|98471
61|98494
61|109110
61|295544
61|300318
62|5253
62|202301
62|325195
62|350810
63|328631
64|176931
65|341130
66|227442
67|148381
68|347407
69|36445
70|313951
70|316755
71|10865
71|50036
71|210208
71|240744
71|291225
71|297839
72|7132
72|112605
73|59685
74|241578
74|263307
74|312366
74|334410
75|38808
