music	system	sex	height	weight	shoe	month	color	pet	number	prob	math
rock	windows	M	1.90	80	46	jun	blue	dog	63	5	8
hiphop	windows	M	1.93	95	46	nov	purple	dog	34	5.5	8.5
pop	windows	F	1.63	65	39	feb	orange	dog	88	6.5	5.5
rock	windows	F	1.65	100	40	aug	blue	dog	97	5.5	5.5
electronic	windows	F	1.65	56	38	jul	blue	dog	21	8.5	10
rock	windows	M	1.8	90	43	apr	red	cat	6	5	5
pop	unix	M	1.73	1.65	41	apr	black	cat	64	0	0
hiphop	windows	M	1.83	100	45	aug	black	dog	3		5
pop	windows	F	1.56	50	38	apr	black		57	7	6
rock	windows	M	1.84	80	43	mar	green	dog	43	5	5
hiphop	windows	M	1.82	76	44.5	oct	red	dog	15	6	8
laika	windows	M	1.74	77	44	jan	black	dog	65	2	6
hiphop	windows	M	1.85	95	45	oct	black	hamster	69	10	10
metal	windows	M	1.7	68	41	sep	green	dog	30	7.5	8
rock	windows	M	1.78	83	42	dec	green	dog	99	6	
laika	windows	M	1.83	95	45	mar	red	dog	32	8.5	10
rock	windows	M	1.85	90	45	apr	purple	dog	14		
pop	windows	M	1.91	85	44	may	black	dog	5	5	5.5
rock	windows	F	1.61	49	38	apr	blue	cat	45	6	5.5
rock	windows	M	1.79	76	45	sep	purple	cat	8		
rock	unix	M	1.83	70	44	nov	green	dog	77	8	8
rock	windows	M	1.79		43	mar	black	dog	77		
pop	windows	F	1.78	65	42.5	aug	black	dog	6		
rock	windows	M	1.90	83	45	nov	black	dog	91	7	5.5
hiphop	windows	M	1.75	80	43	jul	purple	cat	100	7	10
rock	windows	M	1.73	95	43	oct	black	dog	75	8	8
jazz	unix	M	1.80	75	43	apr	yellow	dog	89	7.5	5
laika	macos	F	1.63	60	38	feb	red	dog	80	9	10
rock	macos	F	1.70	50	38	oct	blue	dog	99	5	7
hiphop	windows	M	1.77	80	45	jun	black	cat	45	4	5.5
	macos	M	1.8	68	42	jul	white	dog	20		6
pop	windows	F	1.77	63	40	jul	black	dog	99	9	8.5
rock	windows	F	1.65	58	38	nov	blue	rabbit	88	0	4
pop	windows		1.57	47	37	may	purple	dog	1	5	6.5
	unix	M	1.85	65	41	jan	gray	dog	99	9	8.5
hiphop	windows	M	1.83	87	46	dec	blue	dog	31	6.5	6.5
rock	windows	M	1.85	71	46	jul	black	dog	29	7.5	7
rock	windows	M	1.67	60	42	sep	black	dog	88	5	7
hiphop	windows	F	1.78	53	40	oct	pink	cat	47	5	6.5
electronic	windows	M	1.69	53	41	jan	purple	dog	66	5.5	5.5
metal	windows	M	1.78	75	42	sep	red	cat	16	9.5	6.5
rock	windows	F	1.62	62	36.5	nov	petrol	cat	36	10	7
folk	windows	M	1.94	95	475	jan	green	dog	12	9	6.5
pop	windows	M	1.82	89	46	feb	black	dog	22	6	5
electronic	windows	M	1.63	105	42	jul	green	fish	73	6	6.5
pop	windows	F	1.6	45	38	jul	blue	dog	100	5.5	6
