INITIALS	SEX	CLASS	MIDTERM	FINAL	SCORE	GRADE
A	F	2010	9	4.5	5.85	6
A	F	2008	5.5	2	3.05	3
A	M	2010	6.5		1.95	2
A	F	2009	5.5	3.5	4.1	5
A	F	2008	3		0.9	1
A	M	2011	8.5	8	8.15	8.5
A	F	2009		0.5	0.35	0.5
A	M	2011	0		0	0
B	M	2007		0	0	0
B	M	2009	3.5	1	1.75	2
B	F	2008	7	3	4.2	5
B	F	2009	8	6	6.6	6.5
B	M	2010	9	8.5	8.65	9
C	F	2009	8.5	9	8.85	9
C	M	2009	5.5	6.5	6.2	6.5
C	M	2009	6.5	6	6.15	6.5
C	M	2007	0.5		0.15	0.5
C	M	2009	4.5	10.5	8.7	9
D	F	2008	2	5.5	4.45	5
D	F	2010	8.5	7	7.45	7.5
D	F	2010	6	6.5	6.35	6.5
D	M	2007		2	1.4	1.5
D	F	2009	6	8	7.4	7.5
D	F	2010	7.5		2.25	2.5
Z	F	2009		0	0	0
Z	M	2009	8.5	7	7.45	7.5
H	F	2011	3	6	5.1	5.5
U	M	2007	9.5	4.5	6	6
U	M	2011	1		0.3	0.5
U	M	2009	6	6.5	6.35	6.5
K	M	2010		0	0	0
K	F	2010	5	7.5	6.75	7
K	F	2008	6.5		1.95	2
K	M	2010	7.5	7.5	7.5	7.5
K	M	2006		2.5	1.75	2
K	M	2009	2	5.5	4.45	5
K	M	2008	0.5		0.15	0.5
K	M	2010	3		0.9	1
K	F	2009	9	4.5	5.85	6
K	M	2009	8	5	5.9	6
K	F	2012		2.5	1.75	2
K	F	2008	6	2.5	3.55	3.5
K	M	2009	0		0	0
K	M	2007	7.5	4.5	5.4	5.5
K	F	2010	1		0.3	0.5
K	F	2010	8.5	11	10.25	10
K	F	2008	8.5	8	8.15	8.5
K	M	2010	7.5	5.5	6.1	6
K	M	2007	2.5		0.75	1
K	M	2009		0	0	0
K	F	2009		0	0	0
K	M	2010	9	10	9.7	10
K	M	2010	5	4	4.3	5
K	M	2009		0	0	0
K	F	2009	9.5	8	8.45	8.5
K	M	2010	5.5	1	2.35	2.5
K	M	2009	2.5	6.5	5.3	5.5
L	M	2010	1	0	0.3	0.5
L	M	2010	8	9.5	9.05	9
L	M	2010	5.5	4	4.45	5
L	F	2009	0.5		0.15	0.5
L	M	2010	6.5		1.95	2
L	M	2010	9.5	9	9.15	9.5
L	M	2009	9	9	9	9
L	F	2009	1		0.3	0.5
M	F	2008	1.5		0.45	0.5
M	M	2008	6	6	6	6
M	F	2007		5	3.5	3.5
M	M	200		1	0.7	1
M	M	2008	3		0.9	1
M	M	2009	6.5	8.5	7.9	8
M	M	2009	8	12	10.8	10
M	M	2010	5	9.5	8.15	8.5
M	F	2008	4	5.5	5.05	5
M	M	2009		3.5	2.45	2.5
M	F	2011	3	1.5	1.95	2
M	F	2009	9.5	8.5	8.8	9
N	M	2009	0	4.5	3.15	3.5
N	M	2011	4.5	7.5	6.6	6.5
N	M	2010	8.5	8.5	8.5	8.5
N	M	2007	4	3	3.3	3.5
J	M	2009	8.5	6.5	7.1	7
O	F	2010	4.5	3.5	3.8	4
O	F	2010	0	4.5	3.15	3.5
P	M	2010	10	10	10	10
P	M	2011	4	5	4.7	5
P	M	2009	10	10	10	10
P	F	2009	6.5	7	6.85	7
P	F	2010	7	5	5.6	5.5
P	F	2011	4		1.2	1.5
P	M	2011		1.5	1.05	1
P	F	2008	6	1.5	2.85	3
P	M	2004		0	0	0
P	F	2008	8.5	9.5	9.2	9.5
P	M	2011	1.5		0.45	0.5
R	M	2010	2	0	0.6	0.5
R	F	2007	2.5	6.5	5.3	5.5
R	F	2011	1.5		0.45	0.5
S	F	2009	6	6	6	6
S	F	2009	4	5.5	5.05	5
S	F	2006	0.5		0.15	0.5
S	F	2010	7		2.1	2.5
S	M	2008	7	8	7.7	8
S	F	2009	6.5	7	6.85	7
S	M	2006	5	7.5	6.75	7
S	M	2009	9.5	9	9.15	9.5
S	M	2010	4	6.5	5.75	6
S	M	2008	7	4.5	5.25	5.5
S	M	2008	6	6	6	6
S	M	2009	0	3.5	2.45	2.5
S	F	2009	7	7.5	7.35	7.5
S	M	2007	5.5	6	5.85	6
S	M	2006	3.5	1.5	2.1	2
S	M	2008	8.5		2.55	2.5
T	M	2008	10	7.5	8.25	8.5
T	M	2010	4		1.2	1.5
T	F	2009	7	5	5.6	5.5
T	F	2007	5.5	2.5	3.4	3.5
T	M	2007	8.5	9	8.85	9
T	M	2010	9	10	9.7	10
T	F	2009	1		0.3	0.5
F	M	2009	4	9	7.5	7.5
H	F	2009	4	3.5	3.65	4
H	F	2008		1.5	1.05	1
H	F	2009	3.5	0	1.05	1
H	M	2007	2	3.5	3.05	3
Y	M	2011	3		0.9	1
